Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,3521418059.92345,2813571753.87253,3825701438.99963,4520946818.54581,5224896718.67782,6203256538.70967,6971758282.29351,9747886187.39393,18116572395.0772,18753456497.8159,18053222687.4126,18799444490.1128,19955929052.1496,14259995441.0759,14497243872.1337,17152234636.8715,..
Afghanistan,AFG,"Population, total",SP.POP.TOTL,20130327,20284307,21378117,22733049,23560654,24404567,25424094,25909852,34700612,35688935,36743039,37856121,39068979,40000412,40578842,41454761,42647492
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,3584570164.85195,4059064033.13379,4515003116.68036,5801712040.48463,7406645793.44038,8256658249.8128,9150528132.17633,11116937869.8568,11988668784.6628,13258268435.6048,15379508329.7568,15585111614.0376,15241455556.3737,18032009220.4405,19017244116.7203,23547180412.3404,27177735527.5667
Albania,ALB,"Population, total",SP.POP.TOTL,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2876101,2873457,2866376,2854191,2837849,2811666,2777689,2745972,2714617
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,54790398570.3282,59413400923.6364,61516103406.1688,73482264190.9245,91913680985.1708,107046618669.707,123084258693.01,142482739809.849,180763839522.151,189880896903.073,194554483655.528,193459662090.677,164873415325.201,186231205262.082,225638456572.143,247626161016.414,263619794506.723
Algeria,DZA,"Population, total",SP.POP.TOTL,30903893,31331221,31750835,32175818,32628286,33109249,33623506,34189416,40850721,41689299,42505035,43294546,44042091,44761099,45477389,46164219,46814308
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,..,..,512000000,524000000,509000000,500000000,493000000,518000000,671000000,612000000,639000000,647000000,721000000,750000000,871000000,..,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,56855,57053,57062,56971,56818,56617,56374,56113,52245,51586,50908,50209,49761,49225,48342,47521,46765
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,1432606188.69324,1548265808.05802,1764279824.29752,2366941808.94404,2900245324.49221,3161084091.11674,3459337986.88383,3957625367.21959,2896610479.73077,3000162081.11976,3218419896.9641,3155149347.80639,2891001149.3611,3324647529.381,3380612573.32922,3785067331.7625,4039844390.22543
Andorra,AND,"Population, total",SP.POP.TOTL,65685,65852,66506,69486,74325,77421,79585,81877,72181,73763,75162,76474,77380,78364,79705,80856,81938
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,9129594970.15301,8936079117.73136,15285592370.374,17812704586.4397,23552057679.4994,36970900883.8109,52381025141.4268,65266415494.2584,52761617225.9253,73690154990.7312,79450688259.3664,70897962732.0277,48501561203.5686,66505129987.7235,104399746853.401,84875162197.0107,80396942241.6233
Angola,AGO,"Population, total",SP.POP.TOTL,16194869,16747208,17327699,17943712,18600423,19291161,20015279,20778561,29183070,30234839,31297155,32375632,33451132,34532429,35635029,36749906,37885849
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,901003703.703704,877774074.074074,898092592.592592,948100000,1026329629.62963,1143896296.2963,1303674074.07407,1487381481.48148,1489603703.7037,1534855555.55556,1661529629.62963,1726448148.14815,1411637037.03704,1602125925.92593,1866566666.66667,2005785185.18518,2224814814.81481
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,74912,76069,77032,77884,78719,79611,80604,81704,89969,90468,90926,91364,91846,92349,92840,93316,93772
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,284203750000,268696750000,97724004251.8602,127586973492.177,164657930452.787,198737095012.282,232557260817.308,287530508430.568,557532320662.955,643628393281.364,524819892360.176,447754683615.225,385740508436.965,486564085480.036,632790070063.124,646075277525.125,633266692533.689
Argentina,ARG,"Population, total",SP.POP.TOTL,37213984,37624825,38029349,38424282,38815916,39216789,39622115,40016763,43900313,44288894,44654882,44973465,45191965,45312281,45407904,45538401,45696159
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,1911563668.85006,2118467913.37873,2376335048.39976,2807061008.69084,3576615240.41616,4900469511.10191,6384452066.5146,9206301269.79164,10546136235.5219,11527458709.0158,12457940694.7395,13619290539.2116,12641698583.2152,13878908628.9378,19513506553.1251,24085749592.3359,25786585949.6346
Armenia,ARM,"Population, total",SP.POP.TOTL,3221100,3211800,3199800,3182500,3164900,3146400,3127100,3107400,2992300,2979400,2969000,2962500,2961500,2962300,2969200,2964300,3033500
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1873452513.96648,1896456983.24022,1961843575.41899,2044111731.84358,2254830726.25698,2360017318.43575,2469782681.56425,2677641340.78212,2983635195.53073,3092429050.27933,3276184357.5419,3395798882.68156,2481857122.8401,2929446578.25104,3279343543.60416,3648573136.15155,..
Aruba,ABW,"Population, total",SP.POP.TOTL,90588,91439,92074,93128,95138,97635,99405,100150,108727,108735,108908,109203,108587,107700,107310,107359,107624
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,416167815092.908,379629301675.108,395788696012.059,467739079790.332,614659980082.515,695692898676.56,748417562769.636,855007458585.224,1206836962281.84,1325582658156.54,1427809041019.44,1392723834562.64,1328414058378.38,1556735770437.26,1690858246994.43,1728057316695.61,1752193307380.34
Australia,AUS,"Population, total",SP.POP.TOTL,19028802,19274701,19495210,19720737,19932722,20176844,20450966,20827622,24190907,24592588,24963258,25334826,25649248,25685412,26014399,26652777,27204809
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,196181599831.287,196477206829.33,212837224022.813,260779834340.097,299210411454.823,313952317330.776,333905979332.481,386760177589.497,393687359770.273,414926138132.691,452582294972.775,442983642371.842,434397601557.696,480467037338.783,471773629830.381,511685203845.001,521642466921.745
Austria,AUT,"Population, total",SP.POP.TOTL,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8736668,8797566,8840521,8879920,8916864,8955797,9041851,9131761,9178482
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,5272615722.96892,5707616203.72011,6236087738.28284,7276413079.11451,8680405740.94125,13245421880.834,20981929497.6188,33049419431.2244,37866996882.9157,40866627351.9817,47112470051.7701,48174235294.1176,42693000000,54825411764.7059,78807470588.2353,72428470588.2353,74315882352.9412
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,9757812,9854033,9939771,10024283,10093121,10137750,10141756,10153958,10202850
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,8076470000,8317830000,8881160000,8870090000,9055290000,9836200000,10167250000,10618340000,11880900000,12446900000,12819200000,13277000000,10363200000,12037000000,13896800000,15271300000,15832800000
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,323835,327836,331614,335618,339782,343894,348375,353334,388055,390485,392717,394675,395863,396373,397538,399440,401283
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,9062898936.17021,8976196808.51064,9593510638.29787,11074813829.7872,13150159574.4681,15968723404.2553,18504760638.2979,21730000000,33884680851.0638,37204813829.7872,39567978723.4043,40446808510.6383,35837632978.7234,40840212765.9574,46458191489.3617,46192260638.2979,47736702127.6596
Bahrain,BHR,"Population, total",SP.POP.TOTL,637582,661316,710553,764517,823741,888822,960424,1039295,1423726,1501116,1503091,1483756,1472204,1504365,1524693,1577059,1588670
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,53369787318.6245,53991289844.3291,54724081490.5102,60158929188.2556,65108544250.0425,69476001239.419,71795736172.1561,79611644974.5571,265224515675.034,293732446624.596,321362752441.78,351231654603.692,373979442362.193,416271647911.014,460131689083.083,437415333018.291,450119424622.389
Bangladesh,BGD,"Population, total",SP.POP.TOTL,134544304,136805810,138933658,140970351,142902856,144715786,146405973,147989278,160811932,162186147,163523103,164913055,166298024,167658854,169384897,171466990,173562364
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,3059500000,3054500000,3106500000,3209500000,3444500000,3819500000,4217323400,4675767950,5330761500,5517340450,5629916200,5788288000,5168344450,5275242050,6257303500,6720733200,7165000000
Barbados,BRB,"Population, total",SP.POP.TOTL,262063,262425,264148,265776,267298,268706,270002,271288,279598,280171,280711,281207,281698,282147,282318,282336,282467
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,12736780455.1539,12354820143.8849,14594900944.7658,17825444724.4878,23141566292.9462,30210091836.8294,36961894281.3444,45275711995.825,47723545321.259,54725405751.1559,60031026576.26,64410170653.4569,61371673344.7424,69673747131.87,73775179924.603,72478760370.4258,75961865471.9129
